Geo Point;Geo Shape;gml_id;id_rva_fcd_avt_20230328;denomination;sens_circul;freeflowtime;type;id_troncon;length;thresholds
48.10188827468541, -1.6591783954580206;"{""coordinates"": [[[-1.660459999996333, 48.10220000000296], [-1.66029999999945, 48.10211000000439], [-1.660219999994561, 48.10205999999847], [-1.66004, 48.101950000001914], [-1.660000000006328, 48.10192999999858], [-1.65997000000272, 48.10191000000346], [-1.659880000001922, 48.10185999999863], [-1.659810000006094, 48.101829999997285], [-1.659730000000298, 48.10179999999832], [-1.659659999993216, 48.10177999999683], [-1.659579999998634, 48.10176000000112], [-1.659529999996176, 48.101750000003435], [-1.659470000000418, 48.101740000003865], [-1.659379999994913, 48.101730000002604], [-1.659270000004478, 48.10173], [-1.659139999997699, 48.101740000000405], [-1.659050000005452, 48.10175000000118], [-1.658890000006279, 48.101780000003366], [-1.658769999997145, 48.101809999997826], [-1.658349999994941, 48.10191999999653], [-1.658139999995127, 48.10198000000109], [-1.657929999997207, 48.10203000000043], [-1.657839999994461, 48.10205000000434]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1221;1221;Rue de Châteaugiron;Dans les 2 sens;16;Rue;45479_D;218.66776901425;20_40
48.101696994451395, -1.6556396039973513;"{""coordinates"": [[[-1.656109999998314, 48.101789999996456], [-1.655739999999423, 48.10172000000233], [-1.655459999997638, 48.101660000003285], [-1.655170000000326, 48.10159999999553]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1223;1223;Rue de Châteaugiron;Dans les 2 sens;5;Rue;45480_D;73.1360551135535;20_40
48.10125999999894, -1.6529949999966633;"{""coordinates"": [[[-1.652749999993925, 48.10122999999893], [-1.653239999999402, 48.10128999999895]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1228;1228;Rue de Châteaugiron;Dans les 2 sens;3;Rue;45482_G;37.0996021495892;20_40
48.101062359597506, -1.651962726511387;"{""coordinates"": [[[-1.652749999993925, 48.10122999999893], [-1.652459999994282, 48.10117999999893], [-1.652219999993207, 48.1011299999988], [-1.652020000002796, 48.10108999999616], [-1.651809999995399, 48.101040000003195], [-1.651620000003378, 48.100990000003556], [-1.651549999998705, 48.100969999995684], [-1.65142999999631, 48.10092999999926], [-1.651190000003121, 48.100840000001924]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1229;1229;Rue de Châteaugiron;Dans les 2 sens;9;Rue;45483_D;124.508818533792;20_40
48.09995000000408, -1.6485750000014665;"{""coordinates"": [[[-1.648909999999174, 48.100050000004245], [-1.648240000003759, 48.0998500000039]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1233;1233;Rue de Châteaugiron;Dans les 2 sens;4;Rue;45486_D;54.6332465689169;20_40
48.09925429817911, -1.646263755694036;"{""coordinates"": [[[-1.645110000000465, 48.098900000001095], [-1.645200000002147, 48.09892999999588], [-1.645489999995278, 48.09901999999602], [-1.646090000002621, 48.09919999999886], [-1.646659999996585, 48.09938000000422], [-1.64705000000224, 48.099490000004266], [-1.64731000000595, 48.099570000000476], [-1.647340000004503, 48.09957999999596], [-1.647420000005614, 48.09959999999759]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1238;1238;Rue de Châteaugiron;Dans les 2 sens;17;Rue;45488_G;188.880042728646;20_40
48.0987471843527, -1.6446823672890662;"{""coordinates"": [[[-1.645110000000465, 48.098900000001095], [-1.64488999999585, 48.09882999999941], [-1.64460000000042, 48.09872000000326], [-1.644310000000917, 48.09860000000241], [-1.644260000004301, 48.098579999999465]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1239;1239;Rue de Châteaugiron;Dans les 2 sens;5;Rue;45489_D;72.689992391408;20_40
48.10032892264168, -1.6584109593116492;"{""coordinates"": [[[-1.657920000005108, 48.09988999999653], [-1.658169999997703, 48.10011000000317], [-1.658699999999817, 48.10058999999843], [-1.658899999997123, 48.100769999998505]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1246;1246;Rue de Vern;Dans les 2 sens;9;Rue;45499_G;122.076353564327;20_40
48.09981999999884, -1.6578300000001727;"{""coordinates"": [[[-1.657920000005108, 48.09988999999653], [-1.657739999995237, 48.09975000000116]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1247;1247;Rue de Vern;Dans les 2 sens;1;Rue;45500_D;20.5442607558476;20_40
48.0994941325044, -1.6574256931088232;"{""coordinates"": [[[-1.657739999995237, 48.09975000000116], [-1.657520000005676, 48.099569999997435], [-1.657430000001994, 48.09950000000092], [-1.65735000000058, 48.099430000000375], [-1.657110000004586, 48.09924000000333]]], ""type"": ""MultiLineString""}";rva_fcd_avt_20230328.1249;1249;Rue de Vern;Dans les 2 sens;5;Rue;45501_D;73.6155246827852;20_40
