Geo Point;Geo Shape;gml_id;id;id_evt;commune;quartier;localisation;commentaire;date_deb;date_fin;type;interlocuteur;libelle;niv_perturbation;date_maj
48.02976554453363, -1.7472085859448705;"{""coordinates"": [[[-1.749356763607824, 48.02768993981225], [-1.749618737761583, 48.02812819834101]], [[-1.747547634812319, 48.02471587547338], [-1.747559568276152, 48.02477680705346], [-1.747588763151767, 48.02482330305986]], [[-1.748792466295882, 48.02679109059711], [-1.748967680301971, 48.027089569900106]], [[-1.748268044848829, 48.02591771047021], [-1.748627127648421, 48.02651573673772], [-1.748792466295882, 48.02679109059711]], [[-1.748792466295882, 48.02679109059711], [-1.748457065815713, 48.026877706647554], [-1.748422890258027, 48.026961336801136]], [[-1.747588763151767, 48.02482330305986], [-1.747856510684665, 48.02524971578742], [-1.748268044848829, 48.02591771047021]], [[-1.749008000571803, 48.02721951603402], [-1.749149466694213, 48.027356794975255], [-1.749356763607824, 48.02768993981225]], [[-1.751425183594163, 48.031833669074395], [-1.75138166102615, 48.03182204566063], [-1.751033709826382, 48.03130058107093], [-1.750904839906485, 48.03106170340535], [-1.750767414897543, 48.03073874636962], [-1.750556527762797, 48.03004396457649], [-1.750465774480703, 48.02969711507408], [-1.750437572173258, 48.029589329702866], [-1.750329129376441, 48.02931823936319], [-1.750200472907357, 48.02908159256341], [-1.749618737761583, 48.02812819834101]], [[-1.748086054202111, 48.03071924677958], [-1.748010789079133, 48.03068577624989]], [[-1.747140386494729, 48.02773099740567], [-1.747196927267176, 48.027582766542196]], [[-1.747928252154796, 48.0308061533112], [-1.747967930022978, 48.030793840958694], [-1.748042985910631, 48.03075743053187], [-1.748086054202111, 48.03071924677958]], [[-1.74681029029576, 48.02614644685263], [-1.746957299757022, 48.02691257413361]], [[-1.746957299757022, 48.02691257413361], [-1.745922491255625, 48.02699869071811]], [[-1.747421345888928, 48.0284706359699], [-1.747646824380125, 48.029060608709685], [-1.747896881847877, 48.02971487643057], [-1.748039691179881, 48.03016416128068], [-1.74804407271471, 48.030251089575266], [-1.748024521337128, 48.03033691891368], [-1.747984729001755, 48.03042973298983]], [[-1.745488597502585, 48.032853257302406], [-1.745152013016665, 48.03316330066558], [-1.744806558581889, 48.03347548018764], [-1.744286387578096, 48.033939369656174], [-1.744121412382406, 48.034032825959365]], [[-1.745922491255625, 48.02699869071811], [-1.745678669580041, 48.026965443665475], [-1.745486601625609, 48.02693925356615], [-1.745333929994347, 48.02689547356446], [-1.745285074029822, 48.026897493260186]], [[-1.747984729001755, 48.03042973298983], [-1.747958367687864, 48.03051338836376]], [[-1.746363142413247, 48.032029445937894], [-1.746467429652603, 48.03191294340092], [-1.746747823675291, 48.031565652593905], [-1.746991852827763, 48.031277713224114], [-1.747092953989785, 48.0311692302948], [-1.747195838476172, 48.0310659316539], [-1.74729077845599, 48.031004156984565], [-1.747427759254475, 48.03095905029217], [-1.747818013163441, 48.03084036015905], [-1.747928252154796, 48.0308061533112]], [[-1.7465197294666, 48.02704730831297], [-1.746857584502335, 48.02701616994462], [-1.746990855345816, 48.02706212723837]], [[-1.746990855345816, 48.02706212723837], [-1.747069155690845, 48.02740860045654], [-1.747147709056089, 48.02746992659295]], [[-1.747928252154796, 48.0308061533112], [-1.747807307834231, 48.030788532353114], [-1.747712989190661, 48.03072277425527]], [[-1.746300191558996, 48.032000188894166], [-1.74596107016325, 48.03239187399536], [-1.745645242018905, 48.03270896215438], [-1.745488597502585, 48.032853257302406]], [[-1.745488597502585, 48.032853257302406], [-1.74515367319513, 48.03263772610021]], [[-1.74717036342656, 48.02786219719143], [-1.747229720218862, 48.02794196868714], [-1.747317374156313, 48.02819234590998], [-1.747421345888928, 48.0284706359699]], [[-1.747763511276279, 48.03069020194158], [-1.747712989190661, 48.03072277425527]], [[-1.746927945042874, 48.024849207431664], [-1.746881639681639, 48.02502105814835], [-1.746676602088043, 48.02540853564389], [-1.74681029029576, 48.02614644685263]], [[-1.746957299757022, 48.02691257413361], [-1.746990855345816, 48.02706212723837]], [[-1.743653648370431, 48.03513790559133], [-1.743658928733123, 48.035110772307455], [-1.743660546690973, 48.0350572393014], [-1.743669049263866, 48.03496485684667], [-1.74372494475222, 48.03471975891312], [-1.743755319559791, 48.03463786663779], [-1.743801175842668, 48.03453955757025], [-1.743846932731281, 48.034454400148654], [-1.743958097145937, 48.03431307467927], [-1.744116548099512, 48.034160152885676], [-1.744247703232284, 48.03403728258384], [-1.744495892946928, 48.03382280328294], [-1.744687225594329, 48.033658004486504], [-1.744971597467052, 48.03339645093329], [-1.745119493112548, 48.03328515921785], [-1.745182615555541, 48.03323258934575], [-1.745358581943017, 48.033057029502366], [-1.745540493025391, 48.03287508775759], [-1.745768021862068, 48.03264918848792], [-1.746010706688722, 48.032403379569644], [-1.746228796979084, 48.03217436307623], [-1.746363142413247, 48.032029445937894]], [[-1.747712989190661, 48.03072277425527], [-1.74758776171436, 48.03080350928573], [-1.747386287148972, 48.03093340048917], [-1.747180498336419, 48.031040263584316], [-1.747011804409753, 48.03117825141363], [-1.746300191558996, 48.032000188894166]], [[-1.748086054202111, 48.03071924677958], [-1.748174903056769, 48.0306365951311], [-1.748202711207206, 48.030583732157076], [-1.748212338980405, 48.03056054502174], [-1.748173562587353, 48.03053673045809], [-1.74805154163026, 48.03046026306586], [-1.747984729001755, 48.03042973298983]], [[-1.745285074029822, 48.026897493260186], [-1.745221342361258, 48.026925083088926], [-1.745215628893609, 48.02697678775604], [-1.745229692970349, 48.02701597807282], [-1.745281333938438, 48.027046596026004], [-1.745366007040658, 48.027057132679666], [-1.745809464409301, 48.02702476219003], [-1.745922491255625, 48.02699869071811]], [[-1.746939531154201, 48.02478137232887], [-1.746927945042874, 48.024849207431664]], [[-1.746363142413247, 48.032029445937894], [-1.746300191558996, 48.032000188894166]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a19;327;75494;35047 - Bruz;;Avenue Jules Tricault, Rue du Huit Mai 1944;Circulation interdite;2025-06-16T02:00:00+02:00;2025-08-01T02:00:00+02:00;Circulation interdite;;;Circulation difficile;2025-06-10T20:20:06+02:00
48.1194903099029, -1.6505697655895695;"{""coordinates"": [[[-1.650689886700135, 48.119460673318386], [-1.650449644479004, 48.119519946487415]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a0d;31;72069;35238 - Rennes;6 - Jeanne d'Arc / Longs Champs / Beaulieu;à l'intersection du Boulevard de Vitré et du Boulevard Charles Péguy;Interdiction de tourner;2024-10-21T02:00:00+02:00;2025-06-26T02:00:00+02:00;Interdiction de tourner;;de réaménagement de voirie;Impact limité;2024-10-14T20:13:56+02:00
48.1109027867584, -1.6854055540412103;"{""coordinates"": [[[-1.685201705584906, 48.11047543397691], [-1.685383539839664, 48.11085666026391], [-1.685508843056028, 48.111119174954496], [-1.685605083780229, 48.111320969670075], [-1.685605791776582, 48.11133108833262]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-1a05;43;72831;35238 - Rennes;1 - Centre;Rue Nantaise, de la Place Maréchal Foch jusqu'au 10;Interruption de circulation travaux;2024-12-20T01:00:00+01:00;2025-08-01T02:00:00+02:00;Interruption de circulation travaux;;;Impact limité;2024-12-06T19:15:23+01:00
48.11517792081648, -1.7728540868539513;"{""coordinates"": [[[-1.773050775081252, 48.115008257113026], [-1.772847007287443, 48.115179421714174], [-1.772662145909805, 48.11535293003882]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19fe;56;73519;35240 - le Rheu, 35353 - Vezin-le-Coquet;;le Pont de Verrière,à l'intersection de la Route de Vezin et de la Route départementale 68;Circulation interdite;2025-02-03T01:00:00+01:00;2027-03-05T01:00:00+01:00;Circulation interdite;;sur voirie;Impact limité;2025-02-04T19:16:40+01:00
48.06417490515923, -1.7266255777769954;"{""coordinates"": [[[-1.722423181440407, 48.06682012926662], [-1.723011561599435, 48.06632450888528], [-1.724288606892113, 48.06527009041888]], [[-1.724288606892113, 48.06527009041888], [-1.724700794871695, 48.06493065484284], [-1.724752758362316, 48.06488953891553]], [[-1.726081264259297, 48.064119773117305], [-1.726640005143979, 48.06386689623602], [-1.726658952066228, 48.063858587783486]], [[-1.722341604468431, 48.066888845028316], [-1.722423181440407, 48.06682012926662]], [[-1.727069626948319, 48.063678381943134], [-1.727617177691391, 48.063437874076556], [-1.727627555172106, 48.063433449618366]], [[-1.734026149282236, 48.060205726503334], [-1.734174425921689, 48.06006205596905], [-1.734488164650291, 48.05975492183781], [-1.734563471172987, 48.059682308629064]], [[-1.724249097457771, 48.06524864577902], [-1.723531050985853, 48.06584469914514], [-1.722774766605292, 48.066451717919804], [-1.722290894332414, 48.06686500360001]], [[-1.727627555172106, 48.063433449618366], [-1.728231738443291, 48.063175835758116]], [[-1.726658952066228, 48.063858587783486], [-1.726908576291985, 48.063749121075126], [-1.727069626948319, 48.063678381943134]], [[-1.724752758362316, 48.06488953891553], [-1.724860895932186, 48.06480397718322], [-1.724966605461446, 48.064723586687485], [-1.725105941023659, 48.06462891165515], [-1.725258868256932, 48.064529400645334], [-1.725354604390966, 48.06447414934515], [-1.725465438696167, 48.06441148425308], [-1.725597902572928, 48.06434440859199], [-1.725710516447712, 48.06429052621236], [-1.726081264259297, 48.064119773117305]], [[-1.722423181440407, 48.06682012926662], [-1.722476748356109, 48.06684034065566], [-1.723055681199813, 48.06635933701228], [-1.723616655788892, 48.06590180263804], [-1.724330262225458, 48.06531168856692], [-1.724576317762642, 48.06510201597837], [-1.724791952340838, 48.064928832155765], [-1.724856060744441, 48.06488830520573], [-1.725070962564002, 48.064738958421984], [-1.725276718459059, 48.064599459035406], [-1.725520440287289, 48.064463133713225], [-1.725813775377719, 48.06432003049381], [-1.726143491582969, 48.06416280048947], [-1.727651701743097, 48.06348976429569], [-1.727627555172106, 48.063433449618366]], [[-1.726081264259297, 48.064119773117305], [-1.726072440084357, 48.06402178818396], [-1.726028034645307, 48.0635647497824]], [[-1.724714912320698, 48.064860344005005], [-1.724249097457771, 48.06524864577902]], [[-1.731630481341204, 48.06180476525814], [-1.732460213529289, 48.06142125181402], [-1.732707909350357, 48.06130271714519], [-1.732839554186436, 48.061235715696284], [-1.7329477845432, 48.061173099523245], [-1.733053799806438, 48.061104874005196], [-1.733152723208107, 48.06103351904055], [-1.733241375034797, 48.060961447318604], [-1.733335449976581, 48.06087432766148], [-1.733447986349977, 48.06076592134794], [-1.734026149282236, 48.060205726503334]], [[-1.728231738443291, 48.063175835758116], [-1.728286286072107, 48.06315236732119], [-1.728464471568806, 48.06307505267743], [-1.728732077102005, 48.062969391256914], [-1.72941629747872, 48.062701639948656], [-1.730704497603345, 48.06219985340803], [-1.731630481341204, 48.06180476525814]], [[-1.721528172686404, 48.06762574253419], [-1.721542593659849, 48.067615023123736], [-1.721566706040244, 48.06759565750294], [-1.721797288349902, 48.067351652871395], [-1.721871579923599, 48.067282906302374], [-1.72194822739553, 48.06721431425177], [-1.72204408876975, 48.0671395346948]], [[-1.72204408876975, 48.0671395346948], [-1.722341604468431, 48.066888845028316]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19f9;76;74009;35047 - Bruz, 35281 - Saint-Jacques-de-la-Lande;;Rue Jules Vallès;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-03-24T01:00:00+01:00;2025-08-01T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;création liaison cyclable;Impact limité;2025-03-07T19:17:14+01:00
48.11999005982038, -1.676465419555894;"{""coordinates"": [[[-1.676471528333348, 48.11985446714372], [-1.67645931077844, 48.120125652497045]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19ef;114;74912;35238 - Rennes;2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet;entre les accès parking des 8 et 10 Rue du Moulin Saint-Martin;Circulation interdite;2025-05-19T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation interdite;;sur réseaux ou ouvrages de transport ou distribution de chaleur;Impact limité;2025-04-30T20:18:35+02:00
48.1204919444031, -1.675732135710649;"{""coordinates"": [[[-1.676534240024553, 48.11846245063119], [-1.67645809561796, 48.12015262450008], [-1.67643284898635, 48.120267456522136], [-1.676333584941379, 48.12042982569356]], [[-1.676333584941379, 48.12042982569356], [-1.676099095057121, 48.120813380933924], [-1.676075718258784, 48.120847823376884], [-1.676038570466327, 48.120879908074095]], [[-1.672826773053588, 48.12036501886571], [-1.674391262722824, 48.12086749152894], [-1.675171952992214, 48.1209448768448], [-1.675453192806396, 48.12095754886582], [-1.675695728036512, 48.12096200548666], [-1.675886810450302, 48.12092918039539], [-1.676038570466327, 48.120879908074095]], [[-1.676038570466327, 48.120879908074095], [-1.676117575323432, 48.12094127460551], [-1.676177357461869, 48.120972251938475], [-1.676249927829235, 48.120987198203494], [-1.677713863227779, 48.121049210962674], [-1.678022524911426, 48.121011515943756]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19ee;107;74881;35238 - Rennes;1 - Centre, 2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet;Rue du Moulin Saint-Martin, Rue des Tanneurs;Mise en impasse;2025-05-19T02:00:00+02:00;2025-06-20T02:00:00+02:00;Mise en impasse;;sur réseaux ou ouvrages de transport ou distribution de chaleur;Impact limité;2025-04-30T20:18:35+02:00
48.1204919444031, -1.675732135710649;"{""coordinates"": [[[-1.676534240024553, 48.11846245063119], [-1.67645809561796, 48.12015262450008], [-1.67643284898635, 48.120267456522136], [-1.676333584941379, 48.12042982569356]], [[-1.676333584941379, 48.12042982569356], [-1.676099095057121, 48.120813380933924], [-1.676075718258784, 48.120847823376884], [-1.676038570466327, 48.120879908074095]], [[-1.672826773053588, 48.12036501886571], [-1.674391262722824, 48.12086749152894], [-1.675171952992214, 48.1209448768448], [-1.675453192806396, 48.12095754886582], [-1.675695728036512, 48.12096200548666], [-1.675886810450302, 48.12092918039539], [-1.676038570466327, 48.120879908074095]], [[-1.676038570466327, 48.120879908074095], [-1.676117575323432, 48.12094127460551], [-1.676177357461869, 48.120972251938475], [-1.676249927829235, 48.120987198203494], [-1.677713863227779, 48.121049210962674], [-1.678022524911426, 48.121011515943756]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19ed;109;74889;35238 - Rennes;1 - Centre, 2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet;Rue du Moulin Saint-Martin, Rue des Tanneurs;Circulation à double sens;2025-05-19T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation à double sens;;sur réseaux ou ouvrages de transport ou distribution de chaleur;Impact limité;2025-04-30T20:18:35+02:00
48.02112909403932, -1.739849514668899;"{""coordinates"": [[[-1.745856396136257, 48.01954158788371], [-1.742803949297692, 48.01957765355419], [-1.740660406171251, 48.02000413862928], [-1.738530076108865, 48.02093692452821], [-1.738169289048161, 48.02103066838023], [-1.736661252066533, 48.022163008151075], [-1.736213697967361, 48.02295870324602], [-1.735997464639487, 48.02426300224712], [-1.73609315270633, 48.02530661938796]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19e8;116;75177;35047 - Bruz;;Boulevard Louis Pasteur, de la route de Laillé jusqu'à l'Avenue du Général de Gaulle;Neutralisation de voie;2025-05-19T02:00:00+02:00;2025-07-31T02:00:00+02:00;Neutralisation de voie;;;Impact limité;2025-05-21T20:20:19+02:00
48.12901347668113, -1.6749246254869612;"{""coordinates"": [[[-1.674083581167737, 48.12937555193819], [-1.674290864186224, 48.12936638246014], [-1.675072543989556, 48.129086207054314]], [[-1.673587735367985, 48.12894399197294], [-1.673998235083581, 48.12850965018082]], [[-1.673998235083581, 48.12850965018082], [-1.674923068151688, 48.127370838072956]], [[-1.676423070654776, 48.13061617647649], [-1.676393478005762, 48.13055557429258]], [[-1.675072543989556, 48.129086207054314], [-1.673998235083581, 48.12850965018082]], [[-1.676281656704836, 48.13032658198881], [-1.676173095624041, 48.130125461415794]], [[-1.676393478005762, 48.13055557429258], [-1.676281656704836, 48.13032658198881]], [[-1.676173095624041, 48.130125461415794], [-1.676016054651904, 48.129810476384876]], [[-1.675857183203224, 48.129503854549206], [-1.675297518260373, 48.129205957524974]], [[-1.676016054651904, 48.129810476384876], [-1.675857183203224, 48.129503854549206]], [[-1.676485986676083, 48.1307209197843], [-1.676423070654776, 48.13061617647649]], [[-1.675297518260373, 48.129205957524974], [-1.675072543989556, 48.129086207054314]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19e4;127;75049;35238 - Rennes;5 - Maurepas / Bellangerais;Rue des Folies au droit et à l'avancement des travaux, Rue de la Taurellerie au droit et à l'avancement des travaux, Place Henri Pollès au droit et à l'avancement des travaux;Rétrécissement temporaire de largeur de voie;2025-05-20T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;sur réseaux ou ouvrages d'éclairage public;Impact limité;2025-05-15T20:19:54+02:00
48.27247934466081, -1.8585128787679444;"{""coordinates"": [[[-1.862466358379868, 48.27357204530309], [-1.862407631936488, 48.27349171041793], [-1.861869569711125, 48.273388781695964]], [[-1.858032190884949, 48.272448976882885], [-1.858608117572053, 48.27260707063695], [-1.859353969049617, 48.27281467536747]], [[-1.859907800366534, 48.27296434152503], [-1.860159217339524, 48.273044552153], [-1.860240454669223, 48.27306751969728]], [[-1.853634443466943, 48.270807278850924], [-1.853783833828947, 48.27087199934192]], [[-1.861846504765366, 48.273447397048365], [-1.862466358379868, 48.27357204530309]], [[-1.860240454669223, 48.27306751969728], [-1.860507251088477, 48.273139376916134], [-1.861080405995569, 48.27328075043767], [-1.86139912715804, 48.273358954504026]], [[-1.859938075605662, 48.27290330995196], [-1.859387331053854, 48.272758125007485]], [[-1.858631721718501, 48.27255059032513], [-1.85792420727398, 48.27235263401733], [-1.857859972804952, 48.272395893582406]], [[-1.857025862423811, 48.27212620749671], [-1.857062073002254, 48.272143396907246]], [[-1.857062073002254, 48.272143396907246], [-1.857230957776877, 48.2722299776986]], [[-1.86139912715804, 48.273358954504026], [-1.861846504765366, 48.273447397048365]], [[-1.854617104519366, 48.27110800655723], [-1.854875425615161, 48.27120199832875]], [[-1.858032190884949, 48.272448976882885], [-1.857966944758821, 48.272804197486764], [-1.857909306393797, 48.27301100811265], [-1.857985563061518, 48.27318559183477]], [[-1.857230957776877, 48.2722299776986], [-1.857492752458907, 48.272282702915696], [-1.857859972804952, 48.272395893582406]], [[-1.854350242513142, 48.2710240640044], [-1.854617104519366, 48.27110800655723]], [[-1.855789593213696, 48.27155958695775], [-1.855915754836736, 48.27161029295925]], [[-1.855915754836736, 48.27161029295925], [-1.85660763586032, 48.27191291626347], [-1.85689353056716, 48.27206075954155]], [[-1.861869569711125, 48.273388781695964], [-1.861738951089125, 48.273345303326835], [-1.86109852021997, 48.27320203753674]], [[-1.857859972804952, 48.272395893582406], [-1.858032190884949, 48.272448976882885]], [[-1.853783833828947, 48.27087199934192], [-1.854238595944271, 48.27098894504545], [-1.854350242513142, 48.2710240640044]], [[-1.860277047055804, 48.27299266644074], [-1.859938075605662, 48.27290330995196]], [[-1.86109852021997, 48.27320203753674], [-1.860579782628505, 48.27307427744854], [-1.860277047055804, 48.27299266644074]], [[-1.859387331053854, 48.272758125007485], [-1.859031366156275, 48.27266428521801], [-1.858631721718501, 48.27255059032513]], [[-1.854875425615161, 48.27120199832875], [-1.855133747654436, 48.27129598952016], [-1.855700196404362, 48.2715236570704], [-1.855789593213696, 48.27155958695775]], [[-1.859353969049617, 48.27281467536747], [-1.859907800366534, 48.27296434152503]], [[-1.853145355717457, 48.270468424410474], [-1.853244436850049, 48.270577925655616], [-1.853410430964698, 48.270710227598606], [-1.853634443466943, 48.270807278850924]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19e2;129;75142;35058 - la Chapelle-Chaussée;;Rue de Montmuran;MESURE DVPNO - MJC + OR;2025-05-21T02:00:00+02:00;2025-06-27T02:00:00+02:00;MESURE DVPNO - MJC + OR;;sur réseaux ou ouvrages d'éclairage public;Impact limité;2025-05-20T20:20:17+02:00
48.11747311566899, -1.75462011238194;"{""coordinates"": [[[-1.75465122530347, 48.1172696042572], [-1.754724063498655, 48.117498708964156]], [[-1.755062936110593, 48.11720963920645], [-1.755425363918836, 48.117151614526314]], [[-1.755280482818184, 48.11695530345029], [-1.755232558400792, 48.116995619333856], [-1.7550612925566, 48.11719181796136], [-1.755062936110593, 48.11720963920645]], [[-1.754847974805405, 48.117232151327464], [-1.755062936110593, 48.11720963920645]], [[-1.753187684356701, 48.11837685075131], [-1.753397404102829, 48.11836468546366], [-1.753486652361483, 48.11835305844293], [-1.753539139509512, 48.118323775110206], [-1.753748822494396, 48.11810098889274], [-1.753854808760333, 48.11795770846434], [-1.753895532102492, 48.11780087053313], [-1.753896429732015, 48.117619082239514], [-1.753946436132854, 48.1175150558719], [-1.754057831412871, 48.117407090234856]], [[-1.75465122530347, 48.1172696042572], [-1.754847974805405, 48.117232151327464]], [[-1.754057831412871, 48.117407090234856], [-1.754157804641758, 48.11735969023352], [-1.75428663940464, 48.11732139719636], [-1.75465122530347, 48.1172696042572]], [[-1.755425363918836, 48.117151614526314], [-1.75596913417217, 48.11707786840454], [-1.756206018247169, 48.11698975437498]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19de;211;75359;35353 - Vezin-le-Coquet;;11 Rue des Tulipes;Circulation alternée;2025-06-02T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation alternée;;;Impact limité;2025-06-02T20:19:27+02:00
47.96515215734101, -1.7273576548676424;"{""coordinates"": [[[-1.728345045318525, 47.96566305343149], [-1.728285479809079, 47.96534976729668], [-1.728252339486132, 47.96526277321587], [-1.728181582732762, 47.96514328554649]], [[-1.728181582732762, 47.96514328554649], [-1.728677617267305, 47.964949516309446], [-1.729214685950274, 47.96473051268089]], [[-1.725577955686783, 47.96447595713537], [-1.725791582253369, 47.96461563151767], [-1.725881610968784, 47.96477360282755], [-1.726052267822588, 47.96523928036017], [-1.726110176598268, 47.965321494402275], [-1.726192333442885, 47.96539330823891], [-1.726303288244356, 47.96544325476959], [-1.726445147321588, 47.9654637271159], [-1.72664563012103, 47.96545170172584], [-1.727926067853582, 47.96521219907004], [-1.728181582732762, 47.96514328554649]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19cf;213;74871;35139 - Laillé;;la Bougrais;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-06-04T02:00:00+02:00;2025-07-31T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur réseaux ou ouvrages électriques;Impact limité;2025-04-29T20:19:13+02:00
48.11843059619456, -1.665871252631853;"{""coordinates"": [[[-1.665778508460366, 48.11820176686975], [-1.66596399680334, 48.11865942551937]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19c9;256;75452;35238 - Rennes;2 - Thabor / Saint-Hélier / Alphonse Guérin / Baud-Chardonnet;du 4 au 10 Rue Duboys des Sauzais;Rétrécissement temporaire de largeur de voie;2025-06-10T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;;Impact limité;2025-06-06T20:20:01+02:00
48.054462799197104, -1.603948135823688;"{""coordinates"": [[[-1.602672239779775, 48.0529712770316], [-1.602540878453442, 48.05292329731144], [-1.602257807516841, 48.05323611571734], [-1.602316645002483, 48.05330175085378]], [[-1.602672239779775, 48.0529712770316], [-1.602614834787433, 48.05325290821848]], [[-1.607530745532418, 48.04972560448865], [-1.606832347479881, 48.04987012872237]], [[-1.606345407323614, 48.05002612186396], [-1.605470761900295, 48.050396912688335], [-1.605011426599283, 48.05062203386491], [-1.604547986193569, 48.05088832456909], [-1.60418445630689, 48.0511295265102], [-1.603924022485822, 48.05127462545773], [-1.603700332149751, 48.05136052329829], [-1.603569630662612, 48.05141071277507]], [[-1.603272178293285, 48.05169490009359], [-1.603225931159736, 48.05186600526825], [-1.603114054519922, 48.052162900510936], [-1.602958945803277, 48.05240628486361], [-1.602783817239235, 48.05272436669545], [-1.602672239779775, 48.0529712770316]], [[-1.602784124596395, 48.055216219871774], [-1.60285521788087, 48.05629343507489]], [[-1.60294219591514, 48.05799272730589], [-1.603074488356635, 48.059324750414206]], [[-1.603074488356635, 48.059324750414206], [-1.603134208860156, 48.06046153474248], [-1.603185703604419, 48.06103900729085], [-1.603293719037657, 48.06142675534565], [-1.603455027563288, 48.06180463062335], [-1.603536291011524, 48.062050773017205], [-1.603596204925494, 48.062248975503046]], [[-1.608218331593007, 48.04958331271054], [-1.607530745532418, 48.04972560448865]], [[-1.602614834787433, 48.05325290821848], [-1.602629019783749, 48.05347645349033], [-1.602784124596395, 48.055216219871774]], [[-1.602316645002483, 48.05330175085378], [-1.60249966798643, 48.05339223563762], [-1.60265015331146, 48.05536640404961], [-1.60272926635454, 48.05625377033797], [-1.60285521788087, 48.05629343507489]], [[-1.60285521788087, 48.05629343507489], [-1.603000140727968, 48.05628244388752], [-1.603234724275063, 48.056357369619626]], [[-1.60285521788087, 48.05629343507489], [-1.602886582923031, 48.0567923282749], [-1.60294219591514, 48.05799272730589]], [[-1.607290639378185, 48.04969179716891], [-1.607809041711836, 48.04957488858574]], [[-1.607530745532418, 48.04972560448865], [-1.607822404136089, 48.04970723850622], [-1.608062778788321, 48.04974473354301], [-1.608226376238035, 48.04977722773624], [-1.608350935887506, 48.04984495916368], [-1.608532721963811, 48.049991204615445], [-1.608618793426341, 48.05014533120165], [-1.608704840323963, 48.05031829278315]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19c8;255;75426;35352 - Vern-sur-Seiche;;Rue de Chantepie;Rétrécissement temporaire de largeur de voie - PLATEFORMES;2025-06-10T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie - PLATEFORMES;;sur réseaux ou ouvrages électriques;Impact limité;2025-06-05T20:20:45+02:00
48.11687985926165, -1.6782007010011375;"{""coordinates"": [[[-1.678389064053993, 48.11671062502689], [-1.678329283274712, 48.1167734530035], [-1.678006739920304, 48.11704312405394]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19c7;253;75224;35238 - Rennes;1 - Centre;du 50 au 56 Rue d'Antrain;Circulation interdite;2025-06-10T02:00:00+02:00;2025-06-20T02:00:00+02:00;Circulation interdite;;sur réseaux ou ouvrages de gaz;Impact limité;2025-05-23T20:20:01+02:00
48.094559137674864, -1.6740727847173507;"{""coordinates"": [[[-1.674188814791524, 48.0945519490741], [-1.673956754643178, 48.09456632627562]]], ""type"": ""MultiLineString""}";v_geotravaux_evenement_01j.fid--d2addc_19786fd6cf1_-19c3;246;75428;35238 - Rennes;8 - Sud gare;du 36 au 40 Rue Marcel Sembat;Rétrécissement temporaire de largeur de voie;2025-06-10T02:00:00+02:00;2025-06-20T02:00:00+02:00;Rétrécissement temporaire de largeur de voie;;;Impact limité;2025-06-05T20:20:45+02:00
