Identifiant;Date de début de version;Date de fin de version;Est la version active;Nom court;Nom long;Famille commerciale;Parcours principal aller (ID);Parcours principal retour (ID);Billettique (ID);Couleur de tracé de la ligne;Couleur de texte de la ligne;Visibilité;Routeid gtfs/gtfs-rt
0004;2015-08-31;;Oui;C4;Rennes (ZA Saint-Sulpice) <> Saint-Grégoire (Grand Quartier);CHRONOSTAR;0004-A-1630-2801;0004-B-2801-1630;4;#6f2282;#ffffff;Grand public;
0012;2018-09-03;;Oui;12;Rennes (Villejean-Université) <> Saint-Grégoire <> Rennes (La Poterie);Urbaine;0012-A-1669-1747-1356;0012-B-1747-1669;12;#ba65a5;#ffffff;Grand public;
0032;2022-10-24;;Oui;32;Saint-Grégoire (Edonia) <> Rennes (Alma Sud);Inter-quartiers;0032-A-2859-1727;0032-B-1727-2859;32;#61c3d9;#1a171b;Grand public;
0039;2022-10-24;;Oui;39;Saint-Grégoire (Maison Blanche) <> Saint-Grégoire (Paul-Emile Victor);Inter-quartiers;0039-A-2865-2821;0039-B-2810-2866;39;#ba65a5;#ffffff;Grand public;
0051;2022-10-24;;Oui;51;Betton (Champ Devant) <> Rennes (Les Gayeulles);Métropolitaine;0051-A-2401-1723;0051-B-1723-2401;51;#6f2282;#ffffff;Grand public;
0053;2002-01-01;;Oui;53;Rennes (République) <> Vezin-le-Coquet <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers);Métropolitaine;0053-A-1167-4267;0053-B-4267-1167;53;#e4003a;#ffffff;Grand public;
0064;2022-10-24;;Oui;64;Acigné (Timonière) <> Cesson-Sévigné (Cesson - Viasilva);Métropolitaine;0064-A-4001-2140;0064-B-2140-4001;64;#008bd2;#ffffff;Grand public;
0067;2015-08-31;;Oui;67;Brécé (Anjou) <> Cesson-Sévigné <> Rennes (République);Métropolitaine;0067-A-4151-1167-2085;0067-B-1167-4151-2106;67;#e4003a;#ffffff;Grand public;
0070;2022-10-24;2025-08-31;Oui;70;Saint-Sulpice-la-Forêt (Cropy) <> Cesson-Sévigné (Cesson - Viasilva);Métropolitaine;0070-A-3951-2133;0070-B-2133-3951;70;#ef859d;#1a171b;Grand public;
0073;2002-01-01;;Oui;73;Rennes (La Poterie) <> Vern-sur-Seiche <> Saint-Armel <> Corps-Nuds (Corps-Nuds Gare);Métropolitaine;0073-A-1511-4112;0073-B-4112-1511;73;#00893e;#ffffff;Grand public;
0075;2002-01-01;;Oui;75;Nouvoitou (Parc des Sports) <> Vern-sur-Seiche <> Rennes (La Poterie);Métropolitaine;0075-A-3401-1511;0075-B-1511-3401;75;#f39200;#201d21;Grand public;
0076;2002-01-01;;Oui;76;Rennes (Lycée Basch) <> Vezin-le-Coquet <> Le Rheu <> Mordelles (Mordelles Pâtis);Métropolitaine;0076-A-1566-3851;0076-B-3851-1566;76;#61c3d9;#1a171b;Grand public;
0080;2017-09-04;;Oui;80;Rennes (Henri Fréville) <> Laillé (Gingouillère);Métropolitaine;0080-A-1534-9237;0080-B-9237-1534;80;#ba65a5;#ffffff;Grand public;
0100;2022-10-28;;Oui;La Navette;Navette Centre-Ville : Rennes (République Jaurès) <> Rennes (Sainte-Anne) <> Rennes (République Jaurès);Spéciale;0100-A-1144-1144;;100;#009c99;#ffffff;Grand public;
0122;2022-10-24;;Oui;N2;Rennes (République) <> Rennes (La Poterie);STAR de Nuit;0122-A-1090-1065;0122-B-1065-1090-1440;122;#f39200;#1a171b;Grand public;
0125;2022-10-24;;Oui;N5;Rennes (Parc Gayeulles) <> Rennes (République);STAR de Nuit;0125-A-1108-1563;0125-B-1563-1108;125;#ffcc00;#1a171b;Grand public;
0164;2022-10-24;;Oui;164ex;Acigné (Timonière) <> Cesson-Sévigné (Cesson - Viasilva);Express;0164-A-4001-2140;0164-B-2140-4001;164;#ffdd00;#3d3c3f;Grand public;
0168;2014-09-01;;Oui;168ex;Gévezé (Cheval Blanc) <> Rennes (Villejean-Université);Express;0168-A-4507-1529;0168-B-1529-4507;168;#ffdd00;#3d3c3f;Grand public;
0173;2002-01-01;;Oui;173ex;Rennes (La Poterie) <> Saint-armel <> Corps-Nuds (Corps-Nuds Gare);Express;0173-A-1511-4112;0173-B-4112-1511;173;#ffdd00;#3d3c3f;Grand public;
0205;2022-10-24;2025-08-31;Oui;205;Rennes (The Land) <> Rennes (Villejean-Université);Complémentaire;0205-A-1496-1553;0205-B-1553-1496;205;#c0087f;#ffffff;Grand public;
0209;2024-09-02;;Oui;209;Saint-Jacques-de-la-Lande (Croix Verte) <> Saint-Jacques-de-la-Lande (Collège Jean Moulin);Complémentaire;0209-A-1020-2215;0209-B-2202-1573;209;#ffcc00;#1a171b;Grand public;
0212;2016-09-01;;Oui;212;Rennes (Coubertin) <> Noyal-Châtillon-sur-Seiche <> Saint-Erblon (Champ Mulon);Complémentaire;0212-A-1661-4355;0212-B-2706-1450;212;#ba67a6;#ffffff;Grand public;
0223;2002-01-01;;Oui;223;Chevaigné (Pommiers) <> Betton <> Saint Grégoire (Jean-Paul II);Complémentaire;0223-A-4604-2841;0223-B-2804-4603;223;#94c11f;#ffffff;Grand public;
