Geo Point;Geo Shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;pieton;velo;moto;wms_time
48.09932915161776, -1.6524952090395295;"{""coordinates"": [-1.65249520903953, 48.09932915161776], ""type"": ""Point""}";accident.5715;5715;2385;Sécurité publique 0035238 00170;2012-04-06T02:00:00+02:00;16:30;Vendredi;35238;hors intersection;31 BD L.BOURGEOIS;;BOULEVARD LEON BOURGEOIS;0;;;0;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.10930999549298, -1.505639984371294;"{""coordinates"": [-1.505639984371294, 48.10930999549298], ""type"": ""Point""}";accident.5722;5722;1126;Gendarmerie Nationale 0014901 01934;2016-07-23T02:00:00+02:00;17:45;Samedi;35039;hors intersection;LA TURBANIÈRE;;;0;;;0;motocyclette > 125 cm3;;;;;;Conducteur;;;;;;;;1;0;0;Non;Non;Oui;2016-01-01T01:00:00+01:00
48.08430526326307, -1.6432886248405318;"{""coordinates"": [-1.643288624840532, 48.08430526326307], ""type"": ""Point""}";accident.5753;5753;2592;Sécurité publique 0035238 00448;2012-09-20T02:00:00+02:00;08:30;Jeudi;35238;à plus de 4 branches;PORTE DU BLOSNE;;PORTE DU BLOSNE;0;;RUE DE VERN;0;VL;motocyclette >50 et <=125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2012-01-01T01:00:00+01:00
48.04454300000061, -1.665007999996384;"{""coordinates"": [-1.665007999996384, 48.04454300000061], ""type"": ""Point""}";accident.5827;5827;67174621;GN/10930/1643;2023-07-16T02:00:00+02:00;23:00;Dimanche;35206;Giratoire;Rue de Rennes;50+910;Rue de Rennes;;;;;Moto ou sidecar > 125 cm3;Scooter > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;1;0;Non;Non;Oui;2023-01-01T01:00:00+01:00
48.08700999999766, -1.6610700000020857;"{""coordinates"": [-1.661070000002086, 48.08700999999766], ""type"": ""Point""}";accident.5828;5828;67174797;SP/35238/57;2023-02-16T01:00:00+01:00;11:50;Jeudi;35238;En T;PAYS-BAS (AVENUE DES);N/C;Square des Grisons;;N/C;Avenue des Pays-Bas;;Moto ou sidecar  > 50 <= 125 cm3;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2023-01-01T01:00:00+01:00
48.08401000000458, -1.7122599999969377;"{""coordinates"": [-1.712259999996938, 48.08401000000458], ""type"": ""Point""}";accident.5967;5967;67190068;SP/35238/208;2023-06-23T02:00:00+02:00;21:10;Vendredi;35281;Hors-Int;JAURES (COURS JEAN);N/C;Cours Jean Jaurès;;;;;Scooter <= 50 cm3;;;;;;Conducteur;;;;;;;;0;1;0;Non;Non;Oui;2023-01-01T01:00:00+01:00
48.15830000000403, -1.6975400000034964;"{""coordinates"": [-1.697540000003496, 48.15830000000403], ""type"": ""Point""}";accident.5975;5975;67190637;SP/35238/312;2023-10-06T02:00:00+02:00;12:25;Vendredi;35278;En T;RD 29;N/C;la Mare Beaulieu;;6+385;;;Moto ou sidecar > 125 cm3;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;Non;Non;Oui;2023-01-01T01:00:00+01:00
48.086226062255044, -1.6750663518881719;"{""coordinates"": [-1.675066351888172, 48.086226062255044], ""type"": ""Point""}";accident.136;136;471367;SP/35238/286;2022-08-06T02:00:00+02:00;20:10;Samedi;35238;hors intersection;FREVILLE (AVENUE HENRI);N/C;FREVILLE (AVENUE HENRI);;;;;Scooter <= 50 cm3;;;;;;Conducteur;Piéton;;;;;;;0;0;1;Oui;Non;Oui;2022-01-01T01:00:00+01:00
48.097076918663504, -1.6904709488196208;"{""coordinates"": [-1.690470948819621, 48.097076918663504], ""type"": ""Point""}";accident.256;256;429132;SP/35238/159;2022-05-12T02:00:00+02:00;19:41;Jeudi;35238;hors intersection;MERMOZ (BD JEAN);N/C;Boulevard Jean Mermoz;;;;;Scooter > 125 cm3;;;;;;Conducteur;Piéton;;;;;;;0;1;0;Oui;Non;Oui;2022-01-01T01:00:00+01:00
48.109183678947886, -1.690183245222919;"{""coordinates"": [-1.690183245222919, 48.109183678947886], ""type"": ""Point""}";accident.395;395;66520618;SP/35238/227;2020-08-01T02:00:00+02:00;22:25;Samedi;35238;hors intersection;51 Mail François Mitterrand;N/C;51 Mail François Mitterrand;;;;;Scooter <= 50 cm3;;;;;;Conducteur;Piéton;;;;;;;0;0;2;Oui;Non;Oui;2020-01-01T01:00:00+01:00
