Identifiant;Numéro de parc;Immatriculation;Marque;Modèle;Version;Dénomination commerciale;Type;Propriété de Rennes Métropole;Longueur;Places assises;Places debout;Places totales;Mise en circulation;Equipé avec le SAEIV;Ecrans;Autonomie;Places UFR;Girouettes (type);Girouettes (nombres);Caméras;Valideurs;Norme Euro;Antipollution;Pneus (type);Pneus (dimension);Boîte de vitesses;Moteur;Pont;Vitrerie;Portes (nombre);Portes (type avant);Portes (type milieu et arrière);Dépôt (code);Transporteur (code)
1052;1052;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHARTRES;LINE
1056;1056;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHANTEPI;KARM
1057;1057;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHANTEPI;TIV
1070;1070;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHANTEPI;KARM
2008;2008;;SETRA;416NF 13M;;416NF 13M;;false;0;;;;2009-06-17;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
2013;2013;;SETRA;416NF 13M;;416NF 13M;;false;0;;;;2009-06-17;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
2048;2048;;MERCEDES;CITARO STD;;CITARO STD;;false;0;34;75;109;2012-07-19;true;2;;1;Leds;3;3;3;EURO 5;ADBLUE;;;;;;;2;;;MONTGERM;KARM
2064;2064;;IRISBUS;CROSSWAY;;CROSSWAY;;false;0;60;0;60;2008-07-08;true;2;;1;;;;3;;;;;;;;;2;;;MONTGERM;KARM
2065;2065;;IRISBUS;URBANWAY;;URBANWAY;;false;0;0;0;0;;true;2;;1;;;;3;;;;;;;;;2;;;MONTGERM;KARM
2068;2068;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2014-02-27;true;3;;2;Leds;;4;3;;;;;;;;;3;;;CHANTEPI;KARM
2073;2073;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2014-10-07;true;3;;2;Leds;;3;3;;;;;;;;;3;;;MONTGERM;KARM
2074;2074;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2015-07-09;true;3;;2;Leds;;4;3;;;;;;;;;3;;;MONTGERM;KARM
2076;2076;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2015-07-09;true;3;;2;Leds;;4;3;;;;;;;;;3;;;MONTGERM;KARM
2082;2082;;HEULIEZ;GX437;;GX437;;false;0;0;0;0;2014-02-27;true;3;;2;;3;4;3;EURO 6;ADBLUE;;;;;;;3;;;CHANTEPI;KARM
2084;2084;;HEULIEZ;GX437;;GX437;;false;0;0;0;0;;true;3;;2;;3;4;3;EURO 6;ADBLUE;;;;;;;3;;;MONTGERM;KARM
229;229;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2009-03-18;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
231;231;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2009-03-18;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
234;234;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2009-03-18;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
237;237;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2009-03-18;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
244;244;;MERCEDES;CITARO STD;62802AACEHBGXP3H330224402J900;CITARO STD;Standard;true;12;45;66;111;2012-01-13;true;2;610;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
247;247;;MERCEDES;CITARO STD;62802AACEHBGXP3H330224402J900;CITARO STD;Standard;true;12;45;66;111;2012-01-13;true;2;610;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
249;249;;MERCEDES;CITARO STD;62802AACEHBGXP3H330224402J900;CITARO STD;Standard;true;12;45;66;111;2012-01-13;true;2;610;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
2503;2503;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2020-01-01;false;;;;;;;;;;;;;;;;;;;CHANTEPI;KARM
2505;2505;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2020-01-01;false;;;;;;;;;;;;;;;;;;;CHANTEPI;KARM
251;251;;MERCEDES;CITARO STD;;CITARO STD;;false;0;44;0;44;2019-08-06;true;2;;2;;3;3;3;EURO 6;ADBLUE;;;;;;;3;;;CHANTEPI;KARM
2511;2511;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2024-08-28;false;;;;;;;;;;;;;;;;;;;MONTGERM;KARM
2514;2514;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2024-09-03;false;;;;;;;;;;;;;;;;;;;MONTGERM;KARM
2515;2515;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2024-09-03;false;;;;;;;;;;;;;;;;;;;MONTGERM;KARM
3010;3010;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;0;0;0;1997-11-28;true;2;;;Pastilles;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3015;3015;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;;;;2006-06-01;true;2;;;;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3024;3024;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;0;0;0;2015-11-20;true;2;;1;;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3027;3027;;IVECO;URBANWAY;;URBANWAY;;false;0;0;0;0;2016-06-08;true;2;;2;Leds;3;3;3;EURO 6;;;;;;;;2;;;STJACQUE;JOLL
342;342;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;52;0;52;2023-08-21;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;NC;NC;;4;Pneumatique;Coulissante électrique;RENNES;KREN
345;345;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2023-08-21;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
3513;3513;;IRISBUS;RECREO;;RECREO;;false;0;0;0;0;2009-03-27;false;0;;;;0;0;1;;;;;;;;;2;;;STJACQUE;JOLL
3516;3516;;IRISBUS;Récréo;;Récréo;;false;0;;;;;false;0;;0;;;;1;;;;;;;;;2;;;STJACQUE;JOLL
352;352;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2024-05-24;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
3540;3540;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;STJACQUE;JOLL
355;355;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2024-05-03;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
