Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:00:04+0200;2025-06-19T20:00:22+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:01:00+0200;2025-06-19T18:01:12+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:10:00+0200;2025-06-19T18:10:18+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:05:42+0200;2025-06-19T20:06:00+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:04:30+0200;2025-06-19T18:04:42+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:11:45+0200;2025-06-19T18:12:03+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:11:14+0200;2025-06-19T20:11:32+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:22:00+0200;2025-06-19T18:22:12+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:20:30+0200;2025-06-19T18:20:48+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:16:53+0200;2025-06-19T20:17:11+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:23:45+0200;2025-06-19T18:23:57+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 18:22:15+0200;2025-06-19T18:22:33+02:00;Applicable;
1001;a;0;La Poterie;5002;Villejean-Université;48.1211968262371, -1.70388180215011;2025-06-19 20:19:44+0200;2025-06-19T20:20:02+02:00;Applicable;
