annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Août;2024-08-27;Mardi;35;62;62;Métropolitaine;Régulières Métropolitaines;1070.58824
2024;Juillet;2024-07-18;Jeudi;29;9000;Parcs-Relais;Parcs-Relais;Parcs-Relais;2609.72136
2024;Octobre;2024-10-15;Mardi;42;13;13;Urbaine;Régulières Urbaines;6014.11765
2024;Août;2024-08-27;Mardi;35;81;81;Métropolitaine;Régulières Métropolitaines;412.94118
2024;Juillet;2024-07-19;Vendredi;29;37;37;Inter-quartiers;Régulières Urbaines;128.23529
2024;Octobre;2024-10-15;Mardi;42;14;14;Urbaine;Régulières Urbaines;8264.70588
2024;Août;2024-08-27;Mardi;35;1001;a;Métro;METRO;96785.30271
2024;Juillet;2024-07-19;Vendredi;29;62;62;Métropolitaine;Régulières Métropolitaines;1012.94118
2024;Octobre;2024-10-15;Mardi;42;34;34;Inter-quartiers;Régulières Urbaines;1032.94118
2024;Août;2024-08-28;Mercredi;35;5;C5;CHRONOSTAR;CHRONOSTAR;7375.29412
2024;Juillet;2024-07-19;Vendredi;29;71;71;Métropolitaine;Régulières Métropolitaines;401.17647
2024;Octobre;2024-10-15;Mardi;42;39;39;Inter-quartiers;Régulières Urbaines;17.64706
2024;Août;2024-08-28;Mercredi;35;7;C7;CHRONOSTAR;CHRONOSTAR;2897.64706
2024;Juillet;2024-07-19;Vendredi;29;75;75;Métropolitaine;Régulières Métropolitaines;381.17647
2024;Octobre;2024-10-15;Mardi;42;59;59;Métropolitaine;Régulières Métropolitaines;2364.70588
2024;Août;2024-08-28;Mercredi;35;14;14;Urbaine;Régulières Urbaines;3287.05882
2024;Juillet;2024-07-19;Vendredi;29;80;80;Métropolitaine;Régulières Métropolitaines;272.94118
2024;Octobre;2024-10-15;Mardi;42;68;68;Métropolitaine;Régulières Métropolitaines;1421.17647
2024;Août;2024-08-28;Mercredi;35;53;53;Métropolitaine;Régulières Métropolitaines;2368.23529
2024;Juillet;2024-07-19;Vendredi;29;83;83;Métropolitaine;Régulières Métropolitaines;340.0
