Equipement (ID);Nom;Station (ID);Station (nom);Coordonnées;Etat;Dernière mise à jour;Identifiant de la Ligne de métro (linéo);type;typecourt
ASC_GCH_1;Quai vers Viasilva <-> Salle des billets;15055;Gros-Chêne;48.125093146655, -1.66446795130927;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_GARB_3;Salle des billets <-> Extérieur;15008;Gares;48.1038471114359, -1.67224485716552;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_GCL_2;Quai vers La Poterie <-> Salle des billets;15010;Clemenceau;48.093479686551, -1.67441842137121;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_GCH_2;Quai vers Gaîté <-> Salle des billets;15055;Gros-Chêne;48.125093146655, -1.66446795130927;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_GCL_1;Quai vers Kennedy <-> Salle des billets;15010;Clemenceau;48.093479686551, -1.67441842137121;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_HFR_1;Quai vers Kennedy <-> Salle des billets;15011;Henri Fréville;48.0876790715209, -1.67481606100844;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_GCH_3;Salle des billets <-> Extérieur;15055;Gros-Chêne;48.125093146655, -1.66446795130927;En fonctionnement;2025-06-19T17:49:12+02:00;1002;Ascenseur;ASC
ASC_HFR_2;Quai vers La Poterie <-> Salle des billets;15011;Henri Fréville;48.0876790715209, -1.67481606100844;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
ASC_JCA_2;Quai vers Kennedy <-> Salle des billets;15009;Jacques Cartier;48.0975427301243, -1.67545156363566;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_GCL_3;Salle des billets <-> Extérieur;15010;Clemenceau;48.093479686551, -1.67441842137121;En fonctionnement;2025-06-19T05:00:11+02:00;1001;Ascenseur;ASC
ASC_ITA_1;Quai vers Kennedy <-> Extérieur;15012;Italie;48.0865643803559, -1.66790001859795;En fonctionnement;2025-06-19T05:00:00+02:00;1001;Ascenseur;ASC
